CMDLINE C:\Users\h_suzuki\anaconda3\envs\defoenv\python.exe main.py
MEM 1.554688 1642403471.0055
MEM 19.128906 1642403471.1201
MEM 29.457031 1642403471.2321
MEM 38.945312 1642403471.3441
MEM 40.808594 1642403471.4551
MEM 41.148438 1642403471.5667
MEM 41.378906 1642403471.6777
MEM 41.695312 1642403471.7887
MEM 41.859375 1642403471.8987
MEM 41.972656 1642403472.0107
MEM 42.109375 1642403472.1227
MEM 42.515625 1642403472.2329
MEM 42.914062 1642403472.3431
MEM 43.050781 1642403472.4541
MEM 43.175781 1642403472.5651
MEM 43.300781 1642403472.6739
MEM 43.421875 1642403472.7853
MEM 43.613281 1642403472.8944
MEM 43.695312 1642403473.0058
MEM 43.863281 1642403473.1178
MEM 43.972656 1642403473.2298
MEM 44.113281 1642403473.3418
MEM 44.300781 1642403473.4518
MEM 44.425781 1642403473.5627
MEM 44.550781 1642403473.6741
MEM 44.675781 1642403473.7861
MEM 45.500000 1642403473.8981
MEM 45.660156 1642403474.0101
