CMDLINE C:\Users\h_suzuki\anaconda3\envs\defoenv\python.exe main.py
MEM 1.585938 1642403476.8650
MEM 18.675781 1642403476.9675
MEM 29.574219 1642403477.0780
MEM 38.800781 1642403477.1900
MEM 40.847656 1642403477.2997
MEM 41.199219 1642403477.4117
MEM 41.531250 1642403477.5217
MEM 41.617188 1642403477.6338
MEM 41.781250 1642403477.7448
MEM 42.207031 1642403477.8558
MEM 42.410156 1642403477.9668
MEM 42.535156 1642403478.0788
MEM 42.660156 1642403478.1908
MEM 42.785156 1642403478.3028
MEM 42.914062 1642403478.4148
MEM 43.097656 1642403478.5258
MEM 43.191406 1642403478.6368
MEM 43.347656 1642403478.7478
MEM 43.925781 1642403478.8598
MEM 44.640625 1642403478.9708
MEM 44.796875 1642403479.0811
MEM 44.933594 1642403479.1931
MEM 45.058594 1642403479.3051
MEM 45.183594 1642403479.4151
MEM 45.371094 1642403479.5251
MEM 45.445312 1642403479.6361
MEM 45.621094 1642403479.7482
MEM 41.218750 1642403479.8591
