CMDLINE C:\Users\h_suzuki\anaconda3\envs\defoenv\python.exe 'c:\Users\h_suzuki\Documents\work_sutudy\python\python アルゴリズム系\データの追加と累計の使い分け\詳細\内包表記\main.py'
MEM 1.515625 1643191078.5988
MEM 19.328125 1643191078.7116
MEM 30.605469 1643191078.8343
MEM 38.726562 1643191078.9410
MEM 40.636719 1643191079.0505
MEM 41.136719 1643191079.1534
MEM 41.492188 1643191079.2644
MEM 42.261719 1643191079.3755
MEM 42.515625 1643191079.4875
MEM 42.765625 1643191079.5996
MEM 43.078125 1643191079.7106
MEM 43.328125 1643191079.8226
MEM 44.617188 1643191079.9346
MEM 44.914062 1643191080.0466
MEM 45.167969 1643191080.1556
MEM 45.441406 1643191080.2597
MEM 40.882812 1643191080.3681
