CMDLINE C:\Users\h_suzuki\anaconda3\envs\defoenv\python.exe 'c:\Users\h_suzuki\Documents\work_sutudy\python\python アルゴリズム系\データの追加と累計の使い分け\詳細\内包表記\main.py'
MEM 1.578125 1643191069.8227
MEM 18.175781 1643191069.9230
MEM 28.226562 1643191070.0327
MEM 36.515625 1643191070.1427
MEM 40.648438 1643191070.2464
MEM 41.109375 1643191070.3466
MEM 41.492188 1643191070.4587
MEM 41.832031 1643191070.5676
MEM 42.476562 1643191070.6827
MEM 42.742188 1643191070.7848
MEM 43.011719 1643191070.8936
MEM 43.324219 1643191071.0084
MEM 43.574219 1643191071.1096
MEM 44.417969 1643191071.2138
MEM 44.250000 1643191071.3184
MEM 45.187500 1643191071.4224
MEM 45.582031 1643191071.5249
