CMDLINE C:\Users\h_suzuki\anaconda3\envs\defoenv\python.exe main.py
MEM 1.585938 1642403874.6259
MEM 18.085938 1642403874.7321
MEM 28.285156 1642403874.8441
MEM 37.941406 1642403874.9561
MEM 40.851562 1642403875.0681
MEM 41.199219 1642403875.1801
MEM 41.468750 1642403875.2901
MEM 41.605469 1642403875.4011
MEM 41.781250 1642403875.5131
MEM 42.191406 1642403875.6241
MEM 42.347656 1642403875.7351
MEM 42.535156 1642403875.8471
MEM 42.660156 1642403875.9591
MEM 42.785156 1642403876.0701
MEM 42.910156 1642403876.1791
MEM 43.035156 1642403876.2891
MEM 43.175781 1642403876.4001
MEM 43.347656 1642403876.5111
MEM 43.910156 1642403876.6217
MEM 44.636719 1642403876.7310
MEM 44.796875 1642403876.8420
MEM 44.933594 1642403876.9520
MEM 45.058594 1642403877.0633
MEM 45.171875 1642403877.1716
MEM 45.308594 1642403877.2822
MEM 45.441406 1642403877.3912
MEM 45.621094 1642403877.5032
MEM 39.863281 1642403877.6142
