CMDLINE C:\Users\h_suzuki\anaconda3\envs\defoenv\python.exe main.py
MEM 1.578125 1642403886.9587
MEM 19.859375 1642403887.0722
MEM 29.992188 1642403887.1832
MEM 39.378906 1642403887.2940
MEM 40.832031 1642403887.4060
MEM 41.113281 1642403887.5170
MEM 41.417969 1642403887.6280
MEM 41.511719 1642403887.7380
MEM 41.800781 1642403887.8470
MEM 42.238281 1642403887.9580
MEM 42.378906 1642403888.0690
MEM 42.566406 1642403888.1810
MEM 42.691406 1642403888.2923
MEM 42.816406 1642403888.4043
MEM 42.941406 1642403888.5163
MEM 43.128906 1642403888.6250
MEM 43.214844 1642403888.7350
MEM 43.378906 1642403888.8469
MEM 43.941406 1642403888.9569
MEM 44.667969 1642403889.0689
MEM 44.824219 1642403889.1799
MEM 44.964844 1642403889.2909
MEM 45.089844 1642403889.4029
MEM 45.214844 1642403889.5139
MEM 45.402344 1642403889.6249
MEM 45.492188 1642403889.7349
MEM 45.652344 1642403889.8449
MEM 39.804688 1642403889.9559
